# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Fri Jun 28 02:49:43 UTC 2024
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system:  2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Jmag    Hmag    Ksmag
0.00015547 -2.00000 10.07918 0.4016221166 2.1207314881    0.401 -1.347  3.6534  4.955    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.97e-15      0.00 7.502e-01 2.496e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 8.139 6.641 6.153 6.007
0.00015547 -2.00000 10.07918 0.4512977004 2.1838121607    0.451 -1.194  3.6681  4.911    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.19e-15      0.00 7.507e-01 2.491e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 7.756 6.303 5.835 5.702
0.00015547 -2.00000 10.07918 0.5009732842 2.2384552293    0.501 -1.023  3.6852  4.854    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -6.3e-15      0.00 7.514e-01 2.484e-01 2.938e-05 7.927e-06 7.190e-05 -1.000 1.636e-04 7.328 5.933 5.491 5.373
0.00015547 -2.00000 10.07918 0.5506489277 2.2841947944    0.550 -0.819  3.7053  4.771    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.06e-14      0.00 7.848e-01 2.151e-01 2.566e-05 6.927e-06 6.286e-05 -1.000 9.984e-05 6.818 5.497 5.088 4.986
0.00015547 -2.00000 10.07918 0.6003244519 2.3213410765    0.600 -0.611  3.7305  4.701    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.77e-14      0.00 7.975e-01 2.024e-01 2.432e-05 6.570e-06 5.965e-05 -1.000 1.154e-04 6.297 5.080 4.712 4.628
0.00015547 -2.00000 10.07918 0.6074755192 2.3261163724    0.607 -0.579  3.7348  4.691    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.91e-14      0.00 7.997e-01 2.002e-01 2.409e-05 6.508e-06 5.909e-05 -1.000 1.078e-04 6.218 5.019 4.658 4.577
0.00015547 -2.00000 10.07918 0.6185930967 2.3332888643    0.618 -0.530  3.7414  4.676    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.16e-14      0.00 8.033e-01 1.965e-01 2.371e-05 6.406e-06 5.817e-05 -1.000 1.528e-04 6.094 4.924 4.573 4.496
0.00015547 -2.00000 10.07918 0.6284974217 2.3394334541    0.628 -0.485  3.7472  4.662    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.42e-14      0.00 8.067e-01 1.931e-01 2.335e-05 6.311e-06 5.732e-05 -1.000 1.417e-04 5.983 4.839 4.496 4.424
0.00015547 -2.00000 10.07918 0.6381110549 2.3451883889    0.638 -0.441  3.7528  4.647    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.22e-15      0.00 8.102e-01 1.897e-01 2.299e-05 6.215e-06 5.646e-05 -1.000 1.269e-04 5.874 4.757 4.420 4.353
0.00015547 -2.00000 10.07918 0.6494354606 2.3517167157    0.649 -0.389  3.7592  4.629    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.04e-14      0.00 8.145e-01 1.854e-01 2.254e-05 6.096e-06 5.539e-05 -1.000 1.116e-04 5.744 4.659 4.330 4.268
0.00015547 -2.00000 10.07918 0.6499999762 2.3520353107    0.650 -0.387  3.7595  4.628    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-14      0.00 8.147e-01 1.851e-01 2.252e-05 6.090e-06 5.533e-05 -1.000 1.561e-04 5.737 4.654 4.325 4.264
0.00015547 -2.00000 10.07918 0.6588703394 2.3569591416    0.659 -0.345  3.7644  4.611    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.45e-14      0.00 8.190e-01 1.808e-01 2.207e-05 5.971e-06 5.426e-05 -1.000 1.637e-04 5.633 4.573 4.251 4.194
0.00015547 -2.00000 10.07918 0.6690781713 2.3624399905    0.669 -0.297  3.7698  4.591    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.92e-14      0.00 8.243e-01 1.756e-01 2.153e-05 5.825e-06 5.296e-05 -1.000 1.512e-04 5.512 4.479 4.163 4.110
0.00015547 -2.00000 10.07918 0.6787885427 2.3674781869    0.679 -0.250  3.7749  4.571    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-14      0.00 8.296e-01 1.702e-01 2.097e-05 5.678e-06 5.164e-05 -1.000 1.357e-04 5.394 4.386 4.076 4.027
0.00015547 -2.00000 10.07918 0.6880588531 2.3721357869    0.688 -0.203  3.7798  4.550    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-14      0.00 8.351e-01 1.648e-01 2.041e-05 5.528e-06 5.029e-05 -1.000 1.145e-04 5.278 4.293 3.990 3.945
0.00015547 -2.00000 10.07918 0.6962858438 2.3761499717    0.696 -0.160  3.7840  4.529    1  0.000  0.541     0.00     0.00     0.00     0.00     0.00 -1 -5.49e-15      0.00 8.401e-01 1.597e-01 1.988e-05 5.388e-06 4.903e-05 -1.000 1.185e-04 5.171 4.209 3.911 3.869
0.00015547 -2.00000 10.07918 0.6999999881 2.3779266974    0.700 -0.141  3.7859  4.519    1  0.000  0.540     0.00     0.00     0.00     0.00     0.00 -1 -5.95e-14      0.00 8.425e-01 1.574e-01 1.964e-05 5.322e-06 4.844e-05 -1.000 1.276e-04 5.122 4.170 3.875 3.835
0.00015547 -2.00000 10.07918 0.7091768384 2.3822249806    0.709 -0.090  3.7903  4.492    1  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.85e-14      0.00 8.478e-01 1.521e-01 1.909e-05 5.189e-06 4.727e-05 -1.000 1.202e-04 4.996 4.066 3.778 3.741
0.00015547 -2.00000 10.07918 0.7176503539 2.3860817844    0.717 -0.041  3.7943  4.464    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1 -7.87e-14      0.00 8.522e-01 1.477e-01 1.864e-05 5.082e-06 4.633e-05 -1.000 1.276e-04 4.873 3.964 3.683 3.648
0.00015547 -2.00000 10.07918 0.7260162234 2.3897882022    0.726  0.010  3.7982  4.434    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -9.12e-14      0.00 8.561e-01 1.438e-01 1.826e-05 4.991e-06 4.554e-05 -1.000 7.713e-05 4.745 3.856 3.582 3.549
0.00015547 -2.00000 10.07918 0.7332008481 2.3928937652    0.733  0.057  3.8015  4.404    1  0.000  0.533     0.00     0.00     0.00     0.00     0.00 -1 -1.04e-13      0.00 8.591e-01 1.408e-01 1.799e-05 4.928e-06 4.500e-05 -1.000 8.076e-05 4.629 3.756 3.488 3.457
0.00015547 -2.00000 10.07918 0.7401607633 2.3958361767    0.740  0.105  3.8046  4.373    1  0.000  0.531     0.00     0.00     0.00     0.00     0.00 -1 -1.07e-13      0.00 8.617e-01 1.382e-01 1.776e-05 4.876e-06 4.455e-05 -1.000 1.358e-04 4.508 3.652 3.389 3.360
0.00015547 -2.00000 10.07918 0.7471207976 2.3987156813    0.746  0.157  3.8075  4.336    1  0.000  0.530     0.00     0.00     0.00     0.00     0.00 -1 -1.72e-14      0.00 8.640e-01 1.358e-01 1.756e-05 4.831e-06 4.417e-05 -1.000 1.519e-04 4.379 3.536 3.280 3.252
0.00015547 -2.00000 10.07918 0.7500000000 2.3998889087    0.749  0.179  3.8086  4.321    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1  -1.5e-13      0.00 8.650e-01 1.349e-01 1.748e-05 4.814e-06 4.402e-05 -1.000 1.608e-04 4.323 3.487 3.232 3.205
0.00015547 -2.00000 10.07918 0.7513623834 2.4004404547    0.751  0.189  3.8093  4.313    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.55e-13      0.00 8.651e-01 1.348e-01 1.749e-05 4.816e-06 4.404e-05 -1.000 1.618e-04 4.297 3.464 3.211 3.184
0.00015547 -2.00000 10.07918 0.7594360113 2.4036623257    0.759  0.258  3.8126  4.262    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-13      0.00 8.656e-01 1.343e-01 1.753e-05 4.830e-06 4.419e-05 -1.000 6.492e-05 4.124 3.308 3.062 3.036
0.00015547 -2.00000 10.07918 0.7647926807 2.4057568483    0.764  0.308  3.8146  4.223    1  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -2.24e-13      0.00 8.658e-01 1.341e-01 1.756e-05 4.841e-06 4.430e-05 -1.000 9.665e-05 3.999 3.192 2.950 2.925
0.00015547 -2.00000 10.07918 0.7698709965 2.4077116109    0.769  0.358  3.8160  4.182    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -2.63e-13      0.00 8.649e-01 1.350e-01 1.770e-05 4.881e-06 4.467e-05 -1.000 1.000e-04 3.874 3.073 2.836 2.811
0.00015547 -2.00000 10.07918 0.7740224004 2.4092876895    0.773  0.402  3.8166  4.142    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-13      0.00 8.638e-01 1.361e-01 1.786e-05 4.923e-06 4.506e-05 -1.000 9.993e-05 3.764 2.966 2.730 2.705
0.00015547 -2.00000 10.07918 0.7756054401 2.4098835822    0.774  0.421  3.8163  4.123    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.26e-13      0.00 8.634e-01 1.365e-01 1.792e-05 4.939e-06 4.520e-05 -1.000 1.000e-04 3.717 2.917 2.680 2.655
0.00015547 -2.00000 10.07918 0.7799062133 2.4114884561    0.779  0.476  3.8145  4.063    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -3.93e-13      0.00 8.622e-01 1.377e-01 1.807e-05 4.983e-06 4.561e-05 -1.000 9.997e-05 3.579 2.769 2.530 2.504
0.00015547 -2.00000 10.07918 0.7829150558 2.4125991868    0.782  0.520  3.8118  4.010    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -4.61e-13      0.00 8.614e-01 1.385e-01 1.818e-05 5.013e-06 4.588e-05 -1.000 1.000e-04 3.470 2.647 2.402 2.376
0.00015547 -2.00000 10.07918 0.7835566401 2.4128347627    0.782  0.530  3.8110  3.997    1  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1  -4.8e-13      0.00 8.613e-01 1.386e-01 1.821e-05 5.020e-06 4.594e-05 -1.000 9.993e-05 3.445 2.618 2.372 2.345
0.00015547 -2.00000 10.07918 0.7841680050 2.4130588301    0.783  0.541  3.8098  3.982    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -5.01e-13      0.00 8.611e-01 1.388e-01 1.823e-05 5.026e-06 4.600e-05 -1.000 9.993e-05 3.419 2.585 2.337 2.310
0.00015547 -2.00000 10.07918 0.7862255573 2.4138099876    0.785  0.580  3.8044  3.923    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -5.84e-13      0.00 8.606e-01 1.393e-01 1.831e-05 5.047e-06 4.619e-05 -1.000 9.996e-05 3.321 2.460 2.202 2.172
0.00015547 -2.00000 10.07918 0.7878014445 2.4143822515    0.786  0.615  3.7978  3.862    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -6.79e-13      0.00 8.601e-01 1.398e-01 1.836e-05 5.063e-06 4.634e-05 -1.000 9.993e-05 3.233 2.339 2.068 2.036
0.00015547 -2.00000 10.07918 0.7890366316 2.4148289572    0.787  0.647  3.7899  3.799    2  0.000  0.528     0.00     0.00     0.00     0.00     0.00 -1 -7.85e-13      0.00 8.597e-01 1.402e-01 1.843e-05 5.082e-06 4.651e-05 -1.000 1.065e-04 3.153 2.221 1.935 1.898
0.00015547 -2.00000 10.07918 0.7900331020 2.4151881605    0.788  0.676  3.7812  3.736    2  0.000  0.529     0.00     0.00     0.00     0.00     0.00 -1 -9.02e-13      0.00 8.557e-01 1.442e-01 1.888e-05 5.202e-06 4.760e-05 -1.000 9.391e-05 3.080 2.106 1.804 1.763
