# Combined PARSEC isochrone (>= 0.09 Msun) and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Note that W146 mag for M <= 0.08 Msun is just given by (J + 0.021)
#       Mini     MPD      Rad   MJ_2M   MH_2M   MK_2M   MZ087   MW146   MF213  MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.0600000000  0.0600    0.076  15.974  16.174  16.526  99.000  15.998  99.000  16.016  -0.200 -0.552 -0.352 15.974  16.174  16.526  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.200 -0.552 -0.352 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0700000000  0.0700    0.078  14.334  14.436  14.336  99.000  14.358  99.000  14.356  -0.102 -0.002 0.100 14.334  14.436  14.336  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.102 -0.002 0.100 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0720000000  0.0720    0.081  13.407  13.415  13.336  99.000  13.431  99.000  13.409  -0.008 0.071 0.079 13.407  13.415  13.336  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.008 0.071 0.079 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0750000000  0.0750    0.089  12.217  11.958  11.786  99.000  12.241  99.000  12.159  0.259 0.431 0.172 12.217  11.958  11.786  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.259 0.431 0.172 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0800000000  0.0800    0.099  11.427  11.070  10.796  99.000  11.451  99.000  11.345  0.357 0.631 0.274 11.427  11.070  10.796  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.357 0.631 0.274 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
# logAge=  9.8451  is picked from isochrones/CMD-3.6-NSD_2MASS.dat and isochrones/CMD-3.6-NSD_Roman.dat
0.0900000036  0.0900    0.124  11.201  10.603  10.328  13.027  11.225  10.406  11.060  0.598 0.873 0.275 11.201  10.603  10.328  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.598 0.873 0.275 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.1000000089  0.1000    0.136  10.764  10.167   9.889  12.589  10.787   9.967  10.623  0.597 0.875 0.278 10.764  10.167  9.889  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.597 0.875 0.278 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.1200000048  0.1200    0.157  10.126   9.531   9.249  11.952  10.150   9.327  9.985  0.595 0.877 0.282 10.126  9.531  9.249  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.595 0.877 0.282 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.1400000155  0.1400    0.176   9.701   9.108   8.825  11.351   9.699   8.895  9.561  0.593 0.876 0.283 9.701  9.108  8.825  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.593 0.876 0.283 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
