#Mini MPD Rad MJ_2M MH_2M MK_2M MZ087 MW146 MF213 MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.072  0.072  0.081  13.407  13.415  13.336  99.0  13.44  99.0  13.409  -0.008  0.071  0.079  13.407  13.415  13.336  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  -0.008  0.071  0.079  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.075  0.075  0.089  12.217  11.958  11.786  99.0  12.25  99.0  12.159  0.259  0.431  0.172  12.217  11.958  11.786  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.259  0.431  0.172  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.08  0.08  0.099  11.427  11.07  10.796  99.0  11.46  99.0  11.345  0.357  0.631  0.274  11.427  11.07  10.796  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.357  0.631  0.274  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.09  0.09  0.119  11.111  10.529  10.282  12.866  11.144  10.359  10.974  0.582  0.829  0.247  10.756  10.413  10.255  0.162  0.069  0.073  11.175  10.571  10.473  10.679  10.356  10.226  0.364  0.519  0.155  0.122  0.185  0.064  0.604  0.865  0.261  0.197  0.258  0.061  162.0
0.1  0.1  0.131  10.634  10.053  9.802  12.39  10.667  9.879  10.497  0.581  0.832  0.251  10.244  9.792  9.628  0.234  0.177  0.126  10.717  10.114  9.85  10.005  9.586  9.465  0.463  0.615  0.163  0.06  0.11  0.051  0.603  0.867  0.265  0.418  0.539  0.12  129.0
0.12  0.12  0.152  10.014  9.428  9.167  11.598  10.016  9.236  9.876  0.586  0.847  0.261  9.584  9.061  8.888  0.245  0.208  0.162  10.07  9.469  9.198  9.353  8.882  8.741  0.514  0.696  0.173  0.038  0.084  0.047  0.602  0.872  0.271  0.471  0.612  0.141  113.0
0.127  0.127  0.159  9.863  9.276  9.014  11.388  9.856  9.08  9.724  0.587  0.849  0.262  9.863  9.276  9.014  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.587  0.849  0.262  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.14  0.14  0.171  9.61  9.02  8.757  11.037  9.586  8.819  9.471  0.59  0.853  0.263  9.182  8.642  8.46  0.243  0.213  0.171  9.662  9.06  8.788  8.972  8.461  8.3  0.533  0.722  0.182  0.03  0.072  0.042  0.602  0.874  0.272  0.511  0.671  0.16  112.0
0.16  0.16  0.19  9.289  8.697  8.436  10.616  9.249  8.493  9.149  0.592  0.853  0.261  8.869  8.322  8.134  0.242  0.216  0.178  9.342  8.74  8.469  8.647  8.126  7.958  0.543  0.734  0.188  0.027  0.065  0.038  0.602  0.873  0.271  0.521  0.688  0.167  112.0
0.2  0.2  0.224  8.789  8.195  7.941  9.993  8.73  7.991  8.649  0.594  0.848  0.254  8.369  7.815  7.62  0.244  0.221  0.188  8.842  8.239  7.976  8.134  7.606  7.433  0.552  0.749  0.194  0.024  0.056  0.033  0.603  0.866  0.264  0.527  0.7  0.172  112.0
