#Mini MPD Rad MV_j MI_c MJ_2M MH_2M MK_2M MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.05  0.05  0.101  21.31  15.53  12.197  11.958  11.766  12.143  0.239  0.431  0.192  12.197  11.958  11.766  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.239  0.431  0.192  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.06  0.06  0.102  19.99  14.5  11.684  11.37  11.106  11.613  0.314  0.578  0.264  11.684  11.37  11.106  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.314  0.578  0.264  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.07  0.07  0.106  18.84  13.68  11.269  10.911  10.606  11.187  0.358  0.663  0.305  11.269  10.911  10.606  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.358  0.663  0.305  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.072  0.072  0.107  18.6  13.54  11.189  10.821  10.516  11.105  0.368  0.673  0.305  11.189  10.821  10.516  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.368  0.673  0.305  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.075  0.075  0.108  18.25  13.33  11.08  10.701  10.396  10.993  0.379  0.684  0.305  11.08  10.701  10.396  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.379  0.684  0.305  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.08  0.08  0.111  17.65  13.0  10.891  10.501  10.196  10.801  0.39  0.695  0.305  10.891  10.501  10.196  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.39  0.695  0.305  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.09  0.09  0.133  16.668  12.478  10.465  9.78  9.48  10.301  0.685  0.985  0.3  10.566  10.186  10.02  0.317  0.326  0.341  10.963  10.396  10.213  9.69  9.209  8.93  0.424  0.59  0.171  0.094  0.155  0.062  0.601  0.871  0.272  0.242  0.31  0.068  180.0
0.12  0.12  0.159  15.195  11.614  9.823  9.122  8.793  9.655  0.701  1.03  0.329  9.525  9.017  8.854  0.233  0.206  0.174  10.027  9.426  9.156  9.152  8.65  8.422  0.514  0.695  0.173  0.037  0.084  0.048  0.601  0.875  0.275  0.488  0.635  0.146  127.0
0.15  0.15  0.184  14.224  10.965  9.287  8.641  8.296  9.133  0.646  0.991  0.345  9.287  8.641  8.296  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.646  0.991  0.345  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
0.18  0.18  0.21  13.541  10.469  8.878  8.26  7.916  8.731  0.618  0.962  0.344  8.878  8.26  7.916  0.3  0.3  0.3  999.0  999.0  999.0  -999.0  -999.0  -999.0  0.618  0.962  0.344  0.2  0.2  0.2  10.0  10.0  10.0  -10.0  -10.0  -10.0  0.0
