#Mini MPD Rad MV_j MI_c MJ_2M MH_2M MK_2M MHw sigmaJ sigmaH sigmaKs minJ minH minKs maxJ maxH maxKs
0.003  0.003  0.104  61.46  50.79  37.358  34.544  54.256  36.491  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.004  0.004  0.104  58.0  47.86  35.127  33.108  51.086  34.557  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.005  0.005  0.103  54.62  45.05  33.228  31.766  48.236  32.842  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.006  0.006  0.102  51.29  42.3  31.448  30.472  45.506  31.205  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.007  0.007  0.102  48.17  39.72  29.815  29.276  42.986  29.689  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.008  0.008  0.101  45.19  37.28  28.31  28.147  40.636  28.274  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.009  0.009  0.1  42.49  35.07  26.971  27.124  38.526  27.003  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.01  0.01  0.099  39.95  33.0  25.729  26.18  36.566  25.82  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.012  0.012  0.098  35.23  29.12  23.498  24.425  33.036  23.671  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.015  0.015  0.096  32.81  26.8  22.228  23.149  30.436  22.401  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.02  0.02  0.093  30.75  24.64  20.922  21.596  26.996  21.054  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.03  0.03  0.088  28.98  22.35  19.522  19.608  22.566  19.54  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.04  0.04  0.083  28.18  21.19  18.2  18.291  19.966  18.219  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.05  0.05  0.079  27.64  20.47  17.009  17.161  18.046  17.041  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
0.06  0.06  0.076  27.2  19.93  15.974  16.174  16.526  16.016  0.2  0.2  0.2  -999.0  -999.0  -999.0  999.0  999.0  999.0
