# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M  MHw JH JKs HKs medianJ medianH medianKs sigmaJ sigmaH sigmaKs maxJ maxH maxKs minJ minH minKs medianJH medianJKs medianHKs sigmaJH sigmaJKs sigmaHKs maxJH maxJKs maxHKs minJH minJKs minHKs counts
0.0030000000  0.0030    0.104  61.460  50.790  37.358  34.544  54.256  36.491  2.814 -16.898 -19.712 37.358  34.544  54.256  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 2.814 -16.898 -19.712 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0040000000  0.0040    0.104  58.000  47.860  35.127  33.108  51.086  34.557  2.019 -15.959 -17.978 35.127  33.108  51.086  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 2.019 -15.959 -17.978 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0050000000  0.0050    0.103  54.620  45.050  33.228  31.766  48.236  32.842  1.462 -15.008 -16.470 33.228  31.766  48.236  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 1.462 -15.008 -16.470 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0060000000  0.0060    0.102  51.290  42.300  31.448  30.472  45.506  31.205  0.976 -14.058 -15.034 31.448  30.472  45.506  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.976 -14.058 -15.034 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0070000000  0.0070    0.102  48.170  39.720  29.815  29.276  42.986  29.689  0.539 -13.171 -13.710 29.815  29.276  42.986  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.539 -13.171 -13.710 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0080000000  0.0080    0.101  45.190  37.280  28.310  28.147  40.636  28.274  0.163 -12.326 -12.489 28.310  28.147  40.636  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 0.163 -12.326 -12.489 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0090000000  0.0090    0.100  42.490  35.070  26.971  27.124  38.526  27.003  -0.153 -11.555 -11.402 26.971  27.124  38.526  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.153 -11.555 -11.402 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0100000000  0.0100    0.099  39.950  33.000  25.729  26.180  36.566  25.820  -0.451 -10.837 -10.386 25.729  26.180  36.566  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.451 -10.837 -10.386 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0120000000  0.0120    0.098  35.230  29.120  23.498  24.425  33.036  23.671  -0.927 -9.538 -8.611 23.498  24.425  33.036  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.927 -9.538 -8.611 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
0.0150000000  0.0150    0.096  32.810  26.800  22.228  23.149  30.436  22.401  -0.921 -8.208 -7.287 22.228  23.149  30.436  0.300  0.300  0.300  999.000  999.000  999.000 -999.000 -999.000 -999.000 -0.921 -8.208 -7.287 0.200 0.200 0.200 10.000 10.000 10.000 -10.000 -10.000 -10.000 0.
