#Mini MPD Rad MV_j MI_c MJ_2M MH_2M MK_2M MHw sigmaJ sigmaH sigmaKs minJ minH minKs maxJ maxH maxKs
0.65  0.65  0.633  7.792  6.325  5.42  4.807  4.664  5.275  0.2386  0.1193  0.0911  4.854  4.507  4.437  5.6259  4.9434  4.7809
0.6912  0.691  0.662  7.236  5.967  5.147  4.583  4.466  5.014  0.1518  0.0807  0.0677  4.547  4.233  4.18  4.9639  4.4664  4.3904
0.7  0.7  0.668  7.125  5.893  5.092  4.542  4.428  4.963  0.2313  0.116  0.096  4.515  4.202  4.15  5.286  4.6248  4.5
0.7005  0.7  0.668  7.12  5.889  5.089  4.54  4.426  4.96  0.2313  0.1161  0.0961  4.515  4.202  4.15  5.2858  4.6246  4.4998
0.7264  0.726  0.688  6.804  5.673  4.927  4.426  4.32  4.81  0.2127  0.1205  0.1044  4.323  4.028  3.985  5.0308  4.4486  4.3547
0.75  0.75  0.707  6.54  5.485  4.783  4.319  4.22  4.675  0.2402  0.1488  0.1308  4.116  3.838  3.805  4.9723  4.394  4.297
0.7555  0.755  0.712  6.484  5.444  4.752  4.294  4.196  4.646  0.2467  0.1542  0.136  4.086  3.812  3.78  4.9723  4.394  4.297
0.7871  0.787  0.744  6.172  5.208  4.564  4.148  4.056  4.468  0.2257  0.1596  0.1443  3.828  3.577  3.552  4.643  4.1634  4.0862
0.799  0.799  0.756  6.059  5.122  4.495  4.093  4.003  4.403  0.2689  0.1917  0.1735  3.716  3.475  3.451  4.6783  4.1697  4.0828
0.8136  0.813  0.773  5.924  5.018  4.411  4.025  3.937  4.322  0.2321  0.1752  0.1611  3.594  3.365  3.343  4.4626  4.0234  3.954
0.8375  0.837  0.802  5.712  4.847  4.271  3.911  3.826  4.189  0.2797  0.2168  0.2017  3.367  3.161  3.14  4.3805  3.9561  3.8867
0.8481  0.847  0.816  5.62  4.774  4.211  3.861  3.778  4.131  0.3147  0.2457  0.2294  3.237  3.043  3.022  4.393  3.95  3.875
0.8659  0.865  0.84  5.467  4.651  4.109  3.774  3.694  4.033  0.3032  0.2464  0.2338  3.017  2.844  2.825  4.1852  3.798  3.7338
0.8883  0.887  0.873  5.282  4.501  3.981  3.664  3.589  3.909  0.3368  0.2796  0.2681  2.762  2.61  2.591  4.0662  3.6952  3.6328
0.8971  0.896  0.888  5.209  4.441  3.93  3.619  3.546  3.859  0.4039  0.3375  0.3244  2.503  2.363  2.343  4.0944  3.6996  3.6315
0.9052  0.904  0.901  5.144  4.387  3.883  3.577  3.505  3.814  0.4323  0.366  0.3534  2.28  2.133  2.112  4.0575  3.689  3.6248
0.9193  0.918  0.927  5.03  4.29  3.798  3.502  3.432  3.731  0.6267  0.6025  0.5987  1.012  0.645  0.582  3.9046  3.5578  3.502
0.9329  0.932  0.953  4.921  4.198  3.716  3.43  3.361  3.651  2.5555  2.6818  2.7048  -5.362  -6.03  -6.138  3.6114  3.3171  3.2742
0.9462  0.945  0.981  4.815  4.108  3.637  3.358  3.291  3.574  2.6694  2.8112  2.836  -5.586  -6.362  -6.503  3.3396  3.08  3.046
0.9552  0.954  1.001  4.743  4.045  3.581  3.307  3.241  3.519  2.5794  2.7247  2.7503  -5.593  -6.369  -6.51  3.1184  2.8702  2.8388
0.9672  0.966  1.029  4.647  3.962  3.505  3.238  3.173  3.445  2.3615  2.5041  2.5295  -5.593  -6.369  -6.51  2.6986  2.5258  2.5006
0.9786  0.978  1.058  4.556  3.881  3.432  3.171  3.107  3.373  2.3235  2.4687  2.4957  -5.593  -6.369  -6.51  2.568  2.4144  2.3944
0.9952  0.995  1.103  4.422  3.763  3.324  3.07  3.008  3.267  2.3672  2.521  2.5519  -5.594  -6.37  -6.511  2.6934  2.4805  2.4482
0.9989  0.998  1.113  4.393  3.737  3.3  3.047  2.986  3.243  2.3545  2.5069  2.5378  -5.594  -6.37  -6.511  2.642  2.427  2.4056
1.0167  1.016  1.169  4.252  3.608  3.179  2.933  2.873  3.124  2.2181  2.3702  2.4053  -5.603  -6.498  -6.782  2.201  2.031  1.999
1.0336  1.032  1.226  4.124  3.489  3.065  2.823  2.764  3.011  2.1406  2.2887  2.3258  -5.608  -6.486  -6.779  1.9984  1.7264  1.6867
1.0443  1.043  1.268  4.038  3.408  2.987  2.747  2.689  2.933  2.2374  2.3912  2.4322  -5.635  -6.591  -6.884  2.4182  2.1898  2.1572
1.0462  1.045  1.276  4.023  3.393  2.972  2.734  2.675  2.919  2.2452  2.3993  2.44  -5.635  -6.591  -6.884  2.3962  2.174  2.1414
1.0582  1.057  1.329  3.921  3.296  2.878  2.642  2.584  2.825  2.3  2.4739  2.5298  -5.809  -6.764  -7.122  2.3968  2.1652  2.1314
1.062  1.061  1.347  3.887  3.264  2.847  2.612  2.554  2.794  2.2606  2.4386  2.4993  -5.809  -6.764  -7.122  2.2096  1.9316  1.9029
1.0735  1.072  1.408  3.784  3.164  2.748  2.514  2.457  2.695  2.3221  2.5049  2.5692  -5.843  -6.801  -7.164  2.252  2.0054  1.9717
1.0833  1.082  1.468  3.694  3.074  2.658  2.424  2.366  2.605  2.3567  2.5422  2.6103  -5.873  -6.832  -7.196  2.2346  1.9988  1.9664
1.0933  1.092  1.538  3.6  2.978  2.56  2.325  2.267  2.507  2.4155  2.6051  2.6797  -6.051  -6.998  -7.423  2.4224  2.1528  2.1206
1.1004  1.099  1.594  3.532  2.907  2.487  2.25  2.191  2.434  2.4272  2.6178  2.6972  -6.071  -7.019  -7.447  2.3917  2.1318  2.0946
1.1031  1.101  1.618  3.506  2.879  2.458  2.221  2.162  2.405  2.4218  2.6116  2.6929  -6.071  -7.019  -7.447  2.4565  2.194  2.1565
1.1105  1.109  1.693  3.433  2.798  2.371  2.129  2.069  2.317  2.4369  2.6269  2.7094  -6.111  -7.063  -7.495  2.3845  2.125  2.0855
1.1197  1.118  1.805  3.348  2.695  2.255  2.003  1.941  2.198  2.436  2.6246  2.7119  -6.155  -7.106  -7.539  2.2056  1.8828  1.8428
1.1277  1.126  1.942  3.299  2.611  2.145  1.873  1.806  2.084  2.4778  2.6661  2.7596  -6.189  -7.138  -7.57  2.1937  1.8794  1.8338
1.1326  1.131  2.046  3.314  2.584  2.088  1.792  1.721  2.021  2.4358  2.6193  2.7097  -6.189  -7.138  -7.57  2.1362  1.7628  1.71
1.1354  1.133  2.12  3.358  2.589  2.064  1.746  1.671  1.992  2.4576  2.6421  2.7412  -6.276  -7.229  -7.715  2.1262  1.7591  1.7046
1.1374  1.135  2.175  3.415  2.611  2.06  1.718  1.64  1.982  2.4354  2.618  2.7186  -6.276  -7.229  -7.715  2.0505  1.6825  1.6268
1.1392  1.137  2.246  3.477  2.633  2.05  1.683  1.602  1.966  2.5271  2.7145  2.8145  -6.276  -7.229  -7.715  2.2566  1.9442  1.8969
